,error,n_items,nontargets,response,subject,target
0,12.410962248603795,1,(),20,1,8
1,7.976622821741387,4,"(76.0, 165.0, 153.0)",40,1,32
2,-4.0740684224982715,2,"(75.0,)",125,1,129
3,21.82653279213841,8,"(75.0, 122.0, 55.0, 108.0, 68.0, 167.0, 90.0)",20,1,178
4,-0.7388531144139279,2,"(113.0,)",0,1,1
5,-7.674947355571192,1,(),35,1,43
6,13.071535386211735,4,"(145.0, 1.0, 33.0)",155,1,142
7,-57.188024536881585,8,"(49.0, 124.0, 122.0, 132.0, 141.0, 115.0, 90.0)",130,1,7
8,6.833857234412676,2,"(9.0,)",65,1,58
9,-19.59044160283213,4,"(158.0, 63.0, 176.0)",110,1,130
10,76.47022919400621,8,"(111.0, 39.0, 136.0, 109.0, 104.0, 133.0, 122.0)",130,1,54
11,12.219000823999693,1,(),150,1,138
12,-7.770012512588892,4,"(127.0, 115.0, 156.0)",130,1,138
13,-13.663899655140881,8,"(122.0, 37.0, 149.0, 76.0, 86.0, 119.0, 174.0)",55,1,69
14,-4.635303811761844,2,"(28.0,)",95,1,100
15,4.287087618640612,1,(),75,1,71
16,-73.45652638325146,8,"(179.0, 67.0, 104.0, 38.0, 54.0, 71.0, 104.0)",40,1,113
17,-0.2757347331156552,1,(),85,1,85
18,-2.079073458052221,2,"(146.0,)",155,1,157
19,12.166356395153684,4,"(17.0, 164.0, 12.0)",135,1,123
20,-8.982665486617634,8,"(85.0, 92.0, 157.0, 83.0, 164.0, 129.0, 151.0)",85,1,94
21,1.3556321909237283,4,"(103.0, 54.0, 155.0)",110,1,109
22,3.1005279702139887,2,"(49.0,)",75,1,72
23,2.2928556169316607,1,(),100,1,98
24,-14.498123111667269,2,"(175.0,)",110,1,124
25,-17.310098574785627,4,"(50.0, 28.0, 158.0)",10,1,27
26,-5.885189367351245,1,(),30,1,36
27,-25.42970061342203,8,"(47.0, 52.0, 18.0, 11.0, 42.0, 63.0, 36.0)",85,1,110
28,-10.495162816248012,1,(),25,1,35
29,-6.779229102450586,8,"(128.0, 159.0, 166.0, 172.0, 65.0, 48.0, 147.0)",165,1,172
30,3.94497512741475,4,"(68.0, 113.0, 133.0)",145,1,141
31,-1.780907620471794,2,"(62.0,)",85,1,87
32,3.823816644795045,1,(),15,1,11
33,10.352031006805618,4,"(2.0, 71.0, 41.0)",25,1,15
34,17.88293099765005,8,"(62.0, 17.0, 140.0, 158.0, 145.0, 140.0, 138.0)",100,1,82
35,-13.249916074098905,2,"(151.0,)",90,1,103
36,-8.114871669667764,8,"(80.0, 114.0, 174.0, 22.0, 10.0, 165.0, 45.0)",110,1,118
37,-1.5552232428968296,1,(),10,1,12
38,6.216315195165919,4,"(33.0, 37.0, 164.0)",80,1,74
39,-11.521347697378474,2,"(5.0,)",30,1,42
40,43.52641376995149,8,"(173.0, 50.0, 171.0, 73.0, 15.0, 8.0, 52.0)",0,1,136
41,-4.468062379833441,4,"(49.0, 86.0, 41.0)",55,1,59
42,22.39646595660267,2,"(65.0,)",65,1,43
43,-18.865474410229808,1,(),135,1,154
44,4.230018005920613,4,"(105.0, 52.0, 153.0)",65,1,61
45,19.079103976561754,8,"(146.0, 135.0, 143.0, 90.0, 15.0, 32.0, 179.0)",145,1,126
46,-7.848597674489497,1,(),45,1,53
47,-10.851466414380297,2,"(33.0,)",80,1,91
48,0.7304605243079152,4,"(150.0, 137.0, 44.0)",115,1,114
49,-3.265022736289552,2,"(139.0,)",55,1,58
50,0.26383251441998823,8,"(132.0, 68.0, 160.0, 45.0, 47.0, 27.0, 107.0)",65,1,65
51,-3.474990081484407,1,(),75,1,78
52,19.841456343272256,4,"(143.0, 4.0, 163.0)",165,1,145
53,1.225012970366521,1,(),90,1,89
54,29.714346751304532,8,"(115.0, 133.0, 161.0, 98.0, 41.0, 166.0, 43.0)",120,1,90
55,0.3689687795646819,2,"(104.0,)",120,1,120
56,69.66383861812199,8,"(162.0, 57.0, 55.0, 22.0, 64.0, 4.0, 20.0)",155,1,85
57,-27.12744529557176,2,"(159.0,)",135,1,162
58,1.1877803888058054,4,"(78.0, 161.0, 55.0)",70,1,69
59,-1.1043122653890123,1,(),115,1,116
60,21.090273751030082,8,"(88.0, 85.0, 49.0, 80.0, 54.0, 156.0, 88.0)",45,1,24
61,-9.257179479354136,4,"(10.0, 47.0, 6.0)",60,1,69
62,1.2161626026184251,2,"(30.0,)",100,1,99
63,4.521317178869026,1,(),40,1,35
64,-10.283364360484597,2,"(171.0,)",65,1,75
65,-85.13092440565202,8,"(23.0, 161.0, 46.0, 56.0, 143.0, 126.0, 97.0)",35,1,120
66,5.030671102023291,1,(),110,1,105
67,-5.382396923734291,4,"(93.0, 135.0, 107.0)",95,1,100
68,-9.63896603289885,1,(),150,1,160
69,-25.01571703238028,4,"(82.0, 90.0, 49.0)",120,1,145
70,-80.08941923276461,8,"(75.0, 1.0, 91.0, 63.0, 141.0, 12.0, 99.0)",80,1,160
71,2.2501297036652943,2,"(54.0,)",80,1,78
72,10.744041261024847,2,"(163.0,)",60,1,49
73,7.890102847376937,4,"(110.0, 92.0, 127.0)",175,1,167
74,-7.0706808679464075,1,(),35,1,42
75,-58.47300637836855,8,"(50.0, 11.0, 47.0, 57.0, 132.0, 116.0, 41.0)",55,1,113
76,27.882625812555318,8,"(29.0, 22.0, 4.0, 174.0, 138.0, 47.0, 33.0)",160,1,132
77,9.396191290017384,1,(),25,1,16
78,23.969237342448224,2,"(19.0,)",150,1,126
79,4.285714285714249,4,"(43.0, 159.0, 20.0)",120,1,116
80,-22.17841120639673,4,"(100.0, 167.0, 117.0)",30,1,52
81,-11.03473006378374,8,"(2.0, 164.0, 146.0, 176.0, 76.0, 33.0, 75.0)",45,1,56
82,2.3508407849360538,2,"(150.0,)",140,1,138
83,3.5374004333628193,1,(),140,1,136
84,2.9410687582018227,1,(),100,1,97
85,-9.360484633930469,2,"(25.0,)",65,1,74
86,-15.518814661091938,4,"(59.0, 108.0, 167.0)",115,1,131
87,0.06317331461531239,8,"(99.0, 49.0, 95.0, 65.0, 179.0, 88.0, 166.0)",0,1,180
88,2.0735801263465987,1,(),25,1,23
89,-24.33454390087593,4,"(85.0, 66.0, 101.0)",120,1,144
90,-22.80083620715959,2,"(81.0,)",125,1,148
91,-21.510055848872298,8,"(38.0, 50.0, 79.0, 133.0, 52.0, 55.0, 144.0)",150,1,172
92,2.811975463118358,1,(),10,1,7
93,-8.607745597705048,4,"(43.0, 55.0, 49.0)",40,1,49
94,-22.420422986541325,2,"(138.0,)",80,1,102
95,26.4206366161076,8,"(157.0, 126.0, 20.0, 142.0, 141.0, 172.0, 133.0)",105,1,79
96,0.211035493026543,1,(),75,1,75
97,4.953001495406909,4,"(126.0, 95.0, 120.0)",55,1,50
98,4.384594256416392,8,"(131.0, 95.0, 1.0, 62.0, 75.0, 43.0, 44.0)",120,1,116
99,40.618915372173205,2,"(79.0,)",70,1,29
100,-17.719962157048315,1,(),20,1,38
101,-1.9429609057893344,4,"(163.0, 86.0, 178.0)",175,1,177
102,11.59215063936287,2,"(4.0,)",70,1,58
103,72.35541856135728,8,"(77.0, 38.0, 138.0, 137.0, 24.0, 64.0, 165.0)",180,1,108
104,1.6663106173894278,1,(),150,1,148
105,13.207953123569467,2,"(132.0,)",125,1,112
106,89.34354686117132,8,"(152.0, 123.0, 141.0, 12.0, 118.0, 88.0, 177.0)",90,1,1
107,-20.528885769219073,4,"(56.0, 10.0, 150.0)",140,1,161
108,11.914120914334518,8,"(63.0, 51.0, 98.0, 52.0, 157.0, 163.0, 53.0)",60,1,48
109,-15.247505111850273,4,"(27.0, 156.0, 165.0)",125,1,140
110,-4.553666798913525,2,"(35.0,)",40,1,45
111,-10.13199255348377,1,(),105,1,115
112,-4.637897885067389,4,"(168.0, 101.0, 68.0)",160,1,165
113,-6.945860164189639,2,"(105.0,)",105,1,112
114,-5.830256050294452,1,(),30,1,36
115,3.2552568132571764,8,"(79.0, 114.0, 8.0, 3.0, 65.0, 75.0, 158.0)",105,1,102
116,-45.55391094698928,8,"(103.0, 132.0, 135.0, 76.0, 180.0, 113.0, 138.0)",75,1,121
117,-11.763512070070533,2,"(49.0,)",105,1,117
118,3.849604785302205,4,"(165.0, 116.0, 53.0)",110,1,106
119,1.5056306649982787,1,(),15,1,13
120,-13.457747123630611,8,"(127.0, 82.0, 125.0, 146.0, 97.0, 143.0, 24.0)",120,1,133
121,-2.2608111819818646,1,(),50,1,52
122,4.455549790948169,2,"(9.0,)",15,1,11
123,9.331797235023032,4,"(132.0, 58.0, 136.0)",135,1,126
124,7.742393261513115,4,"(39.0, 15.0, 113.0)",75,1,67
125,3.7342448194829387,1,(),110,1,106
126,-9.240699484237382,8,"(40.0, 8.0, 177.0, 30.0, 80.0, 43.0, 45.0)",60,1,69
127,11.822565385906785,2,"(130.0,)",120,1,108
128,19.54893642994466,8,"(144.0, 171.0, 18.0, 24.0, 33.0, 63.0, 33.0)",30,1,10
129,-0.9797967467267767,1,(),55,1,56
130,3.232520523697417,4,"(87.0, 103.0, 13.0)",50,1,47
131,3.9211706900233594,2,"(159.0,)",85,1,81
132,-0.561845759453206,2,"(2.0,)",160,1,161
133,20.87145603808699,1,(),75,1,54
134,-10.81499679555634,8,"(130.0, 54.0, 46.0, 85.0, 113.0, 11.0, 118.0)",45,1,56
135,15.302591021454532,4,"(68.0, 97.0, 109.0)",30,1,15
136,27.020783104952926,2,"(168.0,)",60,1,33
137,-9.022339548936316,4,"(130.0, 80.0, 38.0)",105,1,114
138,1.4758751182592675,1,(),30,1,29
139,2.3677785576953454,8,"(0.0, 174.0, 26.0, 56.0, 81.0, 76.0, 163.0)",65,1,63
140,28.84792626728111,8,"(69.0, 73.0, 24.0, 56.0, 166.0, 81.0, 179.0)",50,1,21
141,-0.6843775749993597,2,"(138.0,)",75,1,76
142,1.622211371196812,4,"(88.0, 153.0, 91.0)",175,1,173
143,-14.39924314096504,1,(),110,1,124
144,9.815668202764755,2,"(129.0,)",60,1,50
145,4.255500961333098,8,"(165.0, 73.0, 101.0, 107.0, 69.0, 118.0, 95.0)",30,1,26
146,2.581255531479968,4,"(108.0, 85.0, 37.0)",10,1,7
147,8.246101260414491,1,(),170,1,162
148,12.400433362834434,2,"(153.0,)",125,1,113
149,11.204870754112306,8,"(176.0, 169.0, 35.0, 69.0, 50.0, 131.0, 179.0)",160,1,149
150,15.89251380962557,4,"(102.0, 95.0, 111.0)",40,1,24
151,3.534501174962628,2,"(146.0,)",75,1,71
152,8.674275948362691,1,(),40,1,31
153,-30.599383526108568,8,"(110.0, 9.0, 44.0, 32.0, 22.0, 125.0, 70.0)",160,1,11
154,10.795159764397113,4,"(108.0, 61.0, 88.0)",145,1,134
155,-35.513016144291555,2,"(38.0,)",45,1,81
156,5.999328592791528,8,"(39.0, 150.0, 137.0, 174.0, 171.0, 2.0, 159.0)",170,1,164
157,-50.64195684682761,1,(),95,1,146
158,-40.1026947843867,8,"(116.0, 47.0, 154.0, 41.0, 109.0, 106.0, 176.0)",135,1,175
159,-10.892818994720301,2,"(13.0,)",15,1,26
160,47.078463087862815,4,"(5.0, 167.0, 59.0)",170,1,123
161,1.643574327829839,1,(),95,1,93
162,31.355479598376434,4,"(153.0, 15.0, 104.0)",165,1,134
163,-28.668324839014872,8,"(171.0, 74.0, 173.0, 95.0, 112.0, 2.0, 18.0)",45,1,74
164,-14.912259285256482,1,(),100,1,115
165,-26.447035126804394,2,"(8.0,)",80,1,106
166,72.60521256141851,8,"(15.0, 69.0, 119.0, 116.0, 143.0, 178.0, 19.0)",115,1,42
167,7.653431806390557,2,"(109.0,)",70,1,62
168,-24.554277169103045,4,"(112.0, 39.0, 61.0)",120,1,145
169,1.235389263588388,1,(),10,1,9
170,-2.86858729819636,4,"(93.0, 16.0, 171.0)",85,1,88
171,-6.8561357463300965,8,"(36.0, 98.0, 118.0, 47.0, 23.0, 88.0, 174.0)",165,1,172
172,11.577806939909095,2,"(82.0,)",80,1,68
173,1.7336039307840565,1,(),105,1,103
174,15.964842677083652,4,"(0.0, 174.0, 80.0)",70,1,54
175,-1.9322794274727357,2,"(48.0,)",45,1,47
176,-4.0838343455305335,1,(),105,1,109
177,-54.319742423779985,8,"(172.0, 109.0, 39.0, 139.0, 28.0, 119.0, 36.0)",5,1,59
178,21.513412884914715,8,"(119.0, 136.0, 150.0, 5.0, 24.0, 46.0, 117.0)",20,1,178
179,-0.3379924924466877,2,"(23.0,)",25,1,25
180,9.33271279030734,1,(),165,1,156
181,-1.277809991760023,4,"(73.0, 130.0, 45.0)",100,1,101
182,10.889919736320081,4,"(109.0, 54.0, 62.0)",100,1,89
183,0.6234931485946049,1,(),0,1,179
184,15.528275399029525,2,"(97.0,)",135,1,119
185,9.917905209509541,8,"(76.0, 169.0, 67.0, 110.0, 72.0, 136.0, 58.0)",50,1,40
186,-8.632923368022716,8,"(117.0, 78.0, 145.0, 60.0, 164.0, 158.0, 150.0)",25,1,34
187,28.10831019013031,4,"(81.0, 24.0, 82.0)",85,1,57
188,-13.276924954985134,1,(),15,1,28
189,5.811487166966799,2,"(86.0,)",165,1,159
190,-2.5731681264687154,2,"(76.0,)",105,1,108
191,-26.512955107272546,4,"(18.0, 46.0, 156.0)",80,1,107
192,0.2880947294533769,8,"(27.0, 51.0, 150.0, 41.0, 119.0, 121.0, 117.0)",50,1,50
193,-0.8906826990569812,1,(),35,1,36
194,0.06851405377364017,1,(),25,1,25
195,-2.8301339762566045,2,"(161.0,)",85,1,88
196,-9.586626789147601,8,"(85.0, 37.0, 8.0, 24.0, 67.0, 118.0, 115.0)",35,1,45
197,-2.765739921262252,4,"(136.0, 30.0, 124.0)",155,1,158
198,-1.6406750694295624,1,(),150,1,152
199,1.5408795434430829,8,"(157.0, 70.0, 89.0, 54.0, 137.0, 96.0, 142.0)",0,1,178
200,-0.821253089999118,2,"(175.0,)",0,1,1
201,-5.524765770439785,4,"(167.0, 24.0, 40.0)",20,1,26
202,-47.57545701467939,8,"(55.0, 120.0, 129.0, 26.0, 121.0, 108.0, 170.0)",75,1,123
203,10.571001312295891,2,"(36.0,)",150,1,139
204,-2.092654194769125,4,"(41.0, 13.0, 36.0)",40,1,42
205,24.50422681356244,1,(),160,1,135
206,12.317575609607218,2,"(18.0,)",20,1,8
207,-9.8345896786401,1,(),160,1,170
208,-11.97058015686514,4,"(151.0, 106.0, 10.0)",10,1,22
209,-60.14435254982146,8,"(180.0, 71.0, 137.0, 57.0, 41.0, 118.0, 124.0)",100,1,160
210,9.846186712240979,2,"(44.0,)",100,1,90
211,-14.723807489242233,8,"(1.0, 74.0, 103.0, 92.0, 38.0, 117.0, 165.0)",5,1,20
212,12.331156346324065,1,(),135,1,123
213,23.85036774803919,4,"(101.0, 61.0, 73.0)",5,1,161
214,21.79540391247292,4,"(114.0, 70.0, 84.0)",80,1,58
215,-5.090487380596301,1,(),150,1,155
216,-85.79699087496567,8,"(35.0, 79.0, 29.0, 25.0, 133.0, 169.0, 21.0)",80,1,166
217,-2.4886318552202056,2,"(115.0,)",115,1,117
218,23.17972350230417,4,"(120.0, 155.0, 176.0)",80,1,57
219,-0.6399731437116429,1,(),0,1,1
220,-0.4309213538010681,2,"(149.0,)",130,1,130
221,-7.143009735404519,8,"(104.0, 100.0, 70.0, 47.0, 11.0, 45.0, 148.0)",5,1,12
222,-10.82445753349407,4,"(13.0, 148.0, 103.0)",155,1,166
223,-9.693746757408348,1,(),125,1,135
224,-0.7699819940793873,2,"(51.0,)",60,1,61
225,63.726310007019265,8,"(125.0, 101.0, 1.0, 47.0, 21.0, 22.0, 106.0)",30,1,146
226,-2.5466170232245986,1,(),75,1,78
227,0.4002502517776918,8,"(78.0, 154.0, 129.0, 91.0, 37.0, 167.0, 133.0)",35,1,35
228,-2.955412457655598,2,"(11.0,)",90,1,93
229,6.49311807611312,4,"(37.0, 12.0, 112.0)",90,1,84
230,17.830744346446096,8,"(147.0, 166.0, 28.0, 85.0, 176.0, 24.0, 172.0)",10,1,172
231,0.7586901455732971,2,"(101.0,)",170,1,169
232,3.7958922086245366,4,"(111.0, 20.0, 136.0)",90,1,86
233,0.13672292245246354,1,(),10,1,10
234,1.2184514908291817,1,(),85,1,84
235,16.911374248481707,4,"(149.0, 25.0, 75.0)",155,1,138
236,-1.5900143436994085,2,"(79.0,)",130,1,132
237,-2.8115176854762467,8,"(84.0, 112.0, 176.0, 33.0, 176.0, 24.0, 54.0)",95,1,98
238,16.225012970366578,8,"(172.0, 39.0, 141.0, 120.0, 153.0, 99.0, 161.0)",105,1,89
239,-25.578783532212242,4,"(27.0, 74.0, 139.0)",30,1,56
240,14.741966002380451,1,(),80,1,65
241,-10.448469496749794,2,"(168.0,)",115,1,125
242,15.717184972685942,8,"(119.0, 5.0, 144.0, 1.0, 168.0, 123.0, 143.0)",145,1,129
243,-0.460066530350673,1,(),45,1,45
244,-6.9255653553880165,2,"(114.0,)",20,1,27
245,-6.2358470412305,4,"(164.0, 100.0, 38.0)",60,1,66
246,-2.6697592089602153,2,"(0.0,)",90,1,93
247,3.6150700399792584,8,"(112.0, 150.0, 132.0, 62.0, 78.0, 65.0, 98.0)",15,1,11
248,-9.378337961973955,4,"(51.0, 138.0, 58.0)",110,1,119
249,2.0882290108951054,1,(),145,1,143
250,-6.24668111209445,1,(),35,1,41
251,46.828516495254405,4,"(86.0, 40.0, 80.0)",80,1,33
252,-20.464644306772016,2,"(32.0,)",55,1,75
253,-75.36957914975437,8,"(117.0, 2.0, 97.0, 7.0, 22.0, 35.0, 57.0)",85,1,160
